date,case,text,source,clean_text,frame_security,frame_humanitarian,frame_economic,frame_responsibility,frame_diplomacy
2022-08-17,Ukraine,Migration reporting discusses border in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses border in the context of conflict.,1,0,0,0,0
2023-05-17,Ukraine,Migration reporting discusses security in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses security in the context of conflict.,1,0,0,0,0
2022-07-29,Ukraine,Migration reporting discusses diplomacy in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses diplomacy in the context of conflict.,0,0,0,0,1
2024-05-14,Ukraine,Migration reporting discusses refugee in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses refugee in the context of conflict.,0,1,0,0,0
2022-07-11,Ukraine,Migration reporting discusses security in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses security in the context of conflict.,1,0,0,0,0
2024-10-31,Ukraine,Migration reporting discusses diplomacy in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses diplomacy in the context of conflict.,0,0,0,0,1
2023-02-12,Ukraine,Migration reporting discusses security and humanitarian in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses security and humanitarian in the context of conflict.,1,1,0,0,0
2023-07-24,Ukraine,Migration reporting discusses security in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses security in the context of conflict.,1,0,0,0,0
2024-05-15,Ukraine,Migration reporting discusses border and security in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses border and security in the context of conflict.,2,0,0,0,0
2023-03-17,Ukraine,Migration reporting discusses refugee and diplomacy in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses refugee and diplomacy in the context of conflict.,0,1,0,0,1
2024-02-18,Ukraine,Migration reporting discusses border in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses border in the context of conflict.,1,0,0,0,0
2023-12-06,Ukraine,Migration reporting discusses refugee and humanitarian in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses refugee and humanitarian in the context of conflict.,0,2,0,0,0
2022-09-13,Ukraine,Migration reporting discusses refugee and border in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses refugee and border in the context of conflict.,1,1,0,0,0
2024-01-11,Ukraine,Migration reporting discusses refugee in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses refugee in the context of conflict.,0,1,0,0,0
2022-04-04,Ukraine,Migration reporting discusses border in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses border in the context of conflict.,1,0,0,0,0
2022-06-13,Ukraine,Migration reporting discusses refugee in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses refugee in the context of conflict.,0,1,0,0,0
2024-02-18,Ukraine,Migration reporting discusses humanitarian and border in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses humanitarian and border in the context of conflict.,1,1,0,0,0
2022-11-30,Ukraine,Migration reporting discusses border and security in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses border and security in the context of conflict.,2,0,0,0,0
2023-07-01,Ukraine,Migration reporting discusses diplomacy in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses diplomacy in the context of conflict.,0,0,0,0,1
2022-12-17,Ukraine,Migration reporting discusses security in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses security in the context of conflict.,1,0,0,0,0
2024-08-04,Ukraine,Migration reporting discusses border and security in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses border and security in the context of conflict.,2,0,0,0,0
2023-10-27,Ukraine,Migration reporting discusses security in the context of conflict.,SYNTHETIC_DEMO,migration reporting discusses security in the context of conflict.,1,0,0,0,0
